
2023/12/05 (22:09:00) | ===> btop++ v.1.2.13
2023/12/05 (22:09:00) | ERROR: Stall in Runner thread, restarting!

2024/09/13 (20:48:41) | ===> btop++ v.1.2.13
2024/09/13 (20:48:41) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:33:56) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:34:02) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:34:08) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:34:14) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:34:20) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:34:27) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:34:33) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:34:39) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:34:45) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:34:52) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:34:58) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:35:04) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:35:10) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:35:16) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:35:23) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:35:29) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:35:35) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:35:41) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:35:47) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:35:54) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:36:00) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:36:06) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:36:12) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:36:18) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:36:25) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:36:31) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:36:37) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:36:43) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:36:49) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:36:55) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:37:02) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:37:08) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:37:14) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:37:20) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:37:26) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:37:33) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:37:39) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:37:45) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:37:51) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:37:57) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:38:04) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:38:10) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:38:16) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:38:22) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:38:28) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:38:35) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:38:41) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:38:47) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:38:53) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:38:59) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:39:06) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:39:12) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:39:18) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:39:24) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:39:30) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:39:36) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:39:43) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:39:49) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:39:55) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:40:01) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:40:07) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:40:14) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:40:20) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:40:26) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:40:32) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:40:39) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:40:45) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:40:51) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:40:57) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:41:03) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:41:10) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:41:16) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:41:22) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:41:28) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:41:34) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:41:41) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:41:47) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:41:53) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:41:59) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:42:05) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:42:12) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:42:18) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:42:24) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:42:30) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:42:36) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:42:43) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:42:49) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:42:55) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:43:01) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:43:07) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:43:14) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:43:20) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:43:26) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:43:32) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:43:38) | ERROR: Stall in Runner thread, restarting!
2024/09/14 (10:43:45) | ERROR: Stall in Runner thread, restarting!

2024/12/28 (10:24:26) | ===> btop++ v.1.2.13
2024/12/28 (10:24:29) | ERROR: Stall in Runner thread, restarting!
2024/12/28 (10:24:40) | ERROR: Stall in Runner thread, restarting!
2024/12/28 (10:24:47) | ERROR: Stall in Runner thread, restarting!
2024/12/28 (10:24:53) | ERROR: Stall in Runner thread, restarting!
2024/12/28 (10:24:58) | ERROR: Stall in Runner thread, restarting!
2024/12/29 (04:27:15) | ERROR: failed getting network interfaces
